source_id,source_name,country_or_scope,topic_focus,official_url,access_path,content_format,update_frequency,license_or_terms,full_text_ingest_allowed,risk_level,recommended_use,baby_agent_relevance,notes
WHO-CGS,WHO Child Growth Standards,Global,"生长标准: 身长/身高-年龄、体重-年龄、体重-身长/身高、BMI-年龄、头围、臂围、皮褶厚度; 运动发育里程碑",https://www.who.int/tools/child-growth-standards,Web页面 + PDF + 可下载数据表(CSV/Excel),"HTML, PDF, CSV/Excel datasets, 交互式工具",不定期修订; 核心标准2006年发布后稳定,WHO Permissions and Licensing; 数据表可免费下载用于非商业用途; 商业使用需申请许可,true,low,deterministic rules + structured reference,"生长曲线评估、体格发育监测、营养状况判断","数据表(z-score/percentile)可直接编码为deterministic rules; 公开数据集适合全文入库用于生长评估引擎; 商业再发布需确认WHO许可; 优先用于L1硬编码规则层"
WHO-IMM,WHO Immunization Recommendations,Global,"全球免疫接种立场文件、疫苗推荐时间表、疫苗安全",https://www.who.int/teams/immunization-vaccines-and-biologicals/policies/position-papers,Web页面 + PDF position papers,"HTML, PDF",每种疫苗立场文件按需更新; 通常1-3年修订一次,WHO Permissions and Licensing; 非商业引用允许; 全文转载需许可,false,medium,structured reference + rag citation,"疫苗知识库、全球疫苗对比参考、家长疫苗科普","立场文件版权属WHO; 不建议全文入库; 适合结构化摘要后作为RAG引用来源; 各国实际接种计划以当地卫生部门为准; 归入L2结构化医学知识层"
CDC-IMM,CDC Childhood Immunization Schedule,USA,"儿童免疫接种时间表(出生至18岁)、疫苗剂次、间隔、补种方案",https://www.cdc.gov/vaccines/schedules/index.html,Web页面 + 可下载PDF/打印版,"HTML, PDF, 可打印图表",每年1月ACIP更新,美国联邦政府作品; 公共领域(Public Domain); 无版权限制,true,low,deterministic rules + structured reference,"疫苗提醒引擎、接种时间计算、补种逻辑","CDC内容属Public Domain可全文入库; 疫苗时间表结构化程度高适合编码为deterministic rules; 注意仅适用于美国免疫程序; 中国用户需对照中国免疫规划; 优先用于L1规则层(美国场景)"
CDC-DEV,CDC Child Development Milestones,USA,"儿童发育里程碑(2个月-5岁)、发育筛查、Learn the Signs Act Early项目",https://www.cdc.gov/child-development/index.html,Web页面 + PDF里程碑清单 + 移动App,"HTML, PDF, App(Milestone Tracker)",2022年重大修订; 后续按需更新,美国联邦政府作品; Public Domain,true,low,deterministic rules + structured reference,"发育里程碑追踪、红旗症状筛查、发育预警提示","里程碑清单结构化极好适合编码为deterministic rules; 可用于红旗症状分诊的L1规则; Public Domain可全文入库; 结合月龄做精准提醒"
AAP-HC,AAP HealthyChildren.org,USA,"儿科健康教育: 喂养、睡眠、安全、疫苗、生长发育、常见疾病、育儿指导",https://www.healthychildren.org/,Web页面,"HTML, 部分视频/图片",持续更新; 文章定期审核,© American Academy of Pediatrics; All rights reserved; 未经授权不得转载或系统性抓取,false,high,rag citation + metadata registry,"家长教育内容、喂养/睡眠/安全指南参考、育儿百科","AAP版权严格保护; 禁止全文入库; 仅可做metadata登记(标题/URL/摘要)或在RAG中以引用链接形式呈现; 不得缓存全文; 归入L3育儿百科层; 需人工复核具体条款后确认引用方式"
NHS-BABY,NHS Baby Health Guide,UK,"新生儿护理(0-12周)、喂养、筛查、疫苗、安全急救、发育里程碑、辅食添加",https://www.nhs.uk/conditions/baby/,Web页面,"HTML, 部分PDF",持续更新; 页面标注最后修改日期,Crown Copyright; 受NHS specific terms约束; 非OGL标准许可,false,medium,rag citation + structured reference,"喂养指导、睡眠安全、新生儿护理、疫苗科普、辅食指南","NHS内容质量高但受Crown Copyright保护; 不建议全文入库; 可结构化摘要关键建议用于L2; 详细内容以RAG引用+链接形式呈现; 需人工复核NHS Developer API Terms确认技术接入合规性"
NICE-CYP,NICE Children and Young People Guidelines,UK,"儿童临床指南: 发热、感染、黄疸、过敏、喂养困难、神经发育评估等",https://www.nice.org.uk/guidance/conditions-and-diseases/children-and-young-people-s-health,Web页面 + PDF指南全文,"HTML, PDF",指南按需更新; 通常3-5年系统性审查,NICE UK Open Content Licence; 非商业使用允许; 商业使用需申请,false,medium,structured reference + rag citation,"红旗症状分诊规则来源、发热处理流程、黄疸评估、转诊标准","NICE指南循证质量最高; 分诊规则可结构化提取用于L1/L2; 但全文入库受Open Content Licence限制需确认; 建议提取关键决策树/阈值编码为规则; 详细指南RAG引用; 需人工复核商业使用条款"
MEDLINE,MedlinePlus Infant and Newborn Care,USA,"婴幼儿护理: 喂养、换尿布、睡眠安全、洗澡、常见问题、发育、营养、体检",https://medlineplus.gov/infantandnewborncare.html,Web页面 + 链接到NIH详细文章,"HTML, 部分视频, 患者手册PDF",定期维护; 页面标注最后更新日期,美国联邦政府作品; Public Domain; MedlinePlus内容可自由引用,true,low,rag citation + structured reference,"育儿百科参考、家长健康教育、常见问题解答","Public Domain可全文入库; 内容面向家长通俗易懂; 适合L3育儿百科层RAG来源; 部分结构化内容(如安全睡眠规则)可提取为L2; 注意MedlinePlus聚合了多来源需区分原始出处"
UNICEF-PAR,UNICEF Parenting / Early Childhood Development,Global,"早期儿童发展、营养、母乳喂养、亲子互动、疫苗科普、儿童权利",https://www.unicef.org/parenting/,Web页面,"HTML, 部分视频/图片",持续更新,© UNICEF; 内容受版权保护; 具体再使用需遵循UNICEF Terms of Use,false,medium,rag citation + metadata registry,"家长教育、母乳喂养指导、早期发展科普、营养指导","UNICEF内容权威但版权受保护; 不建议全文入库; 适合metadata登记+RAG引用链接; 内容偏科普教育适合L3/L4层; 需人工复核UNICEF Terms of Use确认引用方式"
CN-NHC,国家卫生健康委员会 - 妇幼健康司,China,"妇幼健康政策、儿童保健规范、新生儿疾病筛查、母婴保健法规、出生缺陷防治",http://www.nhc.gov.cn/fys/,Web页面 + 政策文件PDF,"HTML, PDF(政策文件/通知/规范)",按政策发布节奏更新; 不定期,中国政府公开信息; 政策法规类内容可公开引用; 具体条款需参照网站声明,true,low,deterministic rules + structured reference,"中国儿童保健规范、新生儿筛查项目、出生缺陷防治规则、体检时间表","中国场景核心权威来源; 儿童保健规范/筛查标准可编码为deterministic rules(L1); 政策法规类公开信息可入库; 体检时间表/保健内容表适合结构化; 优先用于中国用户的规则引擎"
