gender,indicator,age_months,l_value,m_value,s_value
male,weight,0.00,0.348700,3.346400,0.146020
male,weight,0.03,0.312700,3.317400,0.146930
male,weight,0.07,0.302900,3.337000,0.146760
male,weight,0.10,0.295900,3.362700,0.146470
male,weight,0.13,0.290300,3.391500,0.146110
male,weight,0.16,0.285500,3.422300,0.145710
male,weight,0.20,0.281300,3.454500,0.145280
male,weight,0.23,0.277600,3.487900,0.144830
male,weight,0.26,0.274200,3.522200,0.144360
male,weight,0.30,0.271100,3.557600,0.143880
male,weight,0.33,0.268100,3.594100,0.143390
male,weight,0.36,0.265400,3.631900,0.142900
male,weight,0.39,0.262800,3.671000,0.142410
male,weight,0.43,0.260400,3.711300,0.141920
male,weight,0.46,0.258100,3.752900,0.141420
male,weight,0.49,0.255800,3.795600,0.140930
male,weight,0.53,0.253700,3.838900,0.140440
male,weight,0.56,0.251700,3.882800,0.139960
male,weight,0.59,0.249700,3.927000,0.139480
male,weight,0.62,0.247800,3.971400,0.139000
male,weight,0.66,0.246000,4.015800,0.138530
male,weight,0.69,0.244200,4.060300,0.138070
male,weight,0.72,0.242500,4.104600,0.137610
male,weight,0.76,0.240800,4.148900,0.137150
male,weight,0.79,0.239200,4.193000,0.136700
male,weight,0.82,0.237600,4.236900,0.136260
male,weight,0.85,0.236100,4.280600,0.135820
male,weight,0.89,0.234600,4.324000,0.135390
male,weight,0.92,0.233100,4.367100,0.134970
male,weight,0.95,0.231700,4.410000,0.134550
male,weight,0.99,0.230300,4.452500,0.134130
male,weight,1.02,0.229000,4.494600,0.133720
male,weight,1.05,0.227600,4.536300,0.133320
male,weight,1.08,0.226300,4.577600,0.132920
male,weight,1.12,0.225000,4.618500,0.132530
male,weight,1.15,0.223700,4.659000,0.132150
male,weight,1.18,0.222500,4.699000,0.131770
male,weight,1.22,0.221300,4.738600,0.131390
male,weight,1.25,0.220100,4.777800,0.131020
male,weight,1.28,0.218900,4.816600,0.130660
male,weight,1.31,0.217800,4.854900,0.130300
male,weight,1.35,0.216600,4.892800,0.129940
male,weight,1.38,0.215500,4.930300,0.129600
male,weight,1.41,0.214400,4.967400,0.129250
male,weight,1.45,0.213300,5.004100,0.128910
male,weight,1.48,0.212200,5.040400,0.128580
male,weight,1.51,0.211200,5.076300,0.128250
male,weight,1.54,0.210100,5.111800,0.127920
male,weight,1.58,0.209100,5.146900,0.127600
male,weight,1.61,0.208100,5.181700,0.127290
male,weight,1.64,0.207100,5.216100,0.126980
male,weight,1.68,0.206100,5.250100,0.126670
male,weight,1.71,0.205200,5.283700,0.126370
male,weight,1.74,0.204200,5.317100,0.126070
male,weight,1.77,0.203200,5.350000,0.125770
male,weight,1.81,0.202300,5.382600,0.125480
male,weight,1.84,0.201400,5.414900,0.125200
male,weight,1.87,0.200500,5.446800,0.124910
male,weight,1.91,0.199600,5.478400,0.124630
male,weight,1.94,0.198700,5.509700,0.124360
